name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;793;0;959;3165;1658;3165;1373;0
header;139;213;139;249;1767;249;1767;213
A;940;273;940;301;964;301;964;273
B;1325;733;1325;752;1339;752;1339;733
B;1307;771;1307;797;1316;797;1316;771
B;942;947;942;975;961;975;961;947
C;938;1615;938;1644;959;1644;959;1615
A;1379;1937;1379;1947;1386;1947;1386;1937
D;937;2278;937;2307;964;2307;964;2278
B;1488;2515;1488;2534;1502;2534;1502;2515
A;1032;2706;1032;2724;1046;2724;1046;2706
B;1157;2912;1157;2927;1179;2927;1179;2912
B;1559;2915;1559;2933;1578;2933;1578;2915
A;995;2962;995;2964;997;2964;997;2962
