name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;619;0;856;3153;1902;3153;1878;0
header;247;272;247;312;1878;312;1878;272
A;1694;507;1694;532;1708;532;1708;507
A;1688;873;1688;897;1702;897;1702;873
B;1057;952;1057;981;1080;981;1080;952
B;761;1017;761;1036;776;1036;776;1017
A;787;1109;787;1128;800;1128;800;1109
C;841;1520;841;1538;856;1538;856;1520
C;1066;1631;1066;1658;1087;1658;1087;1631
B;903;2023;903;2041;918;2041;918;2023
B;838;2104;838;2138;892;2138;892;2104
D;1073;2311;1073;2339;1095;2339;1095;2311
B;1590;2733;1590;2758;1607;2758;1607;2733
